Text,Sub-task A
"The country, where intellectuals like Arundhati Roy are not respected , it is
bound to be degrade...She is far intelligent than these hired criminal
journalist...  
I will slap out those who will come to my house regarding NPR.  
They have already adhaar card and NSSO organisation for carrying out social
survey. Actually NPR is a sin in the garb of showing it as a some kind of
social survey...BJP decline has started and soon we will witness it's free
fall",NAG
"3 case can happen, (a) if gay is that high rank officers then new people can
be forcely asked for sex for promotion, leave , transfer , financial or other
benefit, (2) if everybody know that someone is gay , their group will
discriminate him or normal friend of him can be seen the same way, and other
group will make fun of that group. Indians are not so mature enough to deal
with that situation are generally countryside people join defennce that is
ugly truth. (C) gAy couple will have emotional attachment and will never take
harsh step in critical condition, they will not have same aggression they will
become defensive they will be interested in long living with their partners.",NAG
"Feminism is socioeconomic equality... No one should rape anyone. How bizzare
is that. Feminism is about having equal opportunity and responsibility",NAG
Correct i am fully agree with you,NAG
"So saddd... Today I'm clear about this case ......
Tq director of police file for make this episode",NAG
"Thank you for making this video brother I was waiting for this review .I
didnot watch this movie but i saw few review on youtube where as you said they
are juding the kabir singh character .At one point i even agreed at few points
bcz in the songs two scenes i too dislike yes i agree but after watching your
video now i understood and out of this confusion ☺.Hope you make more such
videos in future",NAG
@Pratik Borade <https://youtu.be/3qD3Sf6Jp2o>,NAG
"Ajay Kumar Gupta ase bhi India is d second most populated country in d
world..for your kind information 😑...n yeah love doesn't see anything...I am
straight..but I support LGBT...",NAG
[1:33](https://www.youtube.com/watch?v=jpxULgfrT0k&t=1m33s) GTA V,NAG
"Perfect review . Attraction in opposide zender its normally btt. Dedication
about love. And loyality is main. Kabir singh is. Also a human. Btt he is pure
about love. Everybody make some mistakes bt its on u that u have loyal and.
Good",NAG
Very nice😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,NAG
"Modern Feminism is a cancer to the society.  
Prove me wrong...",NAG
There is nothing like toxic masculinity... Its all masculinity,NAG
both,NAG
She should be jailed immediately,NAG
"I missed you omggg, thank you for educating us the right way sir🙏🙏",NAG
"Bro , book kha hai aapko???  
Can wait to buy for myself and gift to loved ones!!!",NAG
U nailed it!!!,NAG
"arnab u r exposing urself...........just one debate on the work of govt
......i know its not possible to expose ur owener(bjp) ...........u r not a
journalist",NAG
Yess,NAG
You deserve 10 million subscribers. 👏,NAG
Well said sir👌,NAG
It's very good message you gave.. thanks a lot.,NAG
Omg so much horrible,NAG
"It’s all very well about gay rights and gay marriage but where the problem
lies is there access to kids is coming closer and that’s not right. I’m not
racist against blacks or gays but where I do feel strongly is they should not
be left around kids. It’s just my opinion and I don’t think I’m too far wrong.",NAG
"@akshay Viswambharan ditching the Bible or God leads to a godless society with
no morals...just like west rejected God and Bible and became immoral and
hopeless...  
  
  
With Jesus their is blessing without him there would be hell where you would
go forever and ever....give your life to Jesus there is still time...i am just
a bringer of truth to you....God is the witness on the day of judgement.",NAG
You are the best critic,NAG
Congress always has been crminial mindset,NAG
"Dowry / Domestic Violence (JUSTICE FOR MEN)  
  
Team Nexus is an NGO (Non profit Non GOVT organization), engaged in social
work to serve the Families that seek to assist to resolve and recover from
minor domestic disputes / tussle / allegations etc. These Families suffer
trauma and depression in their attempts to be together again. Our first
priority is to save the family by mending the bitter relationship and also
know the reality of the allegations irrespective of gender. We directly or
indirectly help others to, support the main victims of domestic dispute and
domestic violence. Family tension affects people from all walks of life
regardless of gender, sexual orientation or race. Men, in particular, suffer
because of the lack of recognition and awareness by society and often the lack
of local services available to support them. It is a travesty of justice; we
cannot silently ignore because we've felt the sting of false accusations made
by women of domestic violence or anti dowry act (498A), and resolved to try to
prevent this injustice from continuing. We haven't been able to stop it, but
we wish to help male victims to fight against injustice side of the system.  
IF YOU ARE A MALE VICTIM YOU ARE NEITHER “WEAK” NOR “ALONE” CALL US FOR
EMOTIONAL AND LEGAL SUPPORT AT :09814055672, CHANDIGARH",NAG
superv!!,NAG
I love you dada,NAG
"+truthdemon No.. I don't know him personally. It's a relation by pain and
relation of same pain is bigger n better than blood relationship.",NAG
Sir you are great... I am your big fan...,NAG
Ur videos are really very interesting 💕I already subscribed ur channel✌,NAG
After watching KABIR SINGH The Liberal Meltdown is funny 😂😂😂,NAG
Wtf is she even sayin?? Conning the people ??,NAG
I agree with you firmly. I felt the same thing.,NAG
Sir something about new joker movie plzzzzzz.,NAG
Nice dada,NAG
"Fishing for fame. This holy is a dropout druggee who got battered in Tamil
filmdom and wasted her life. Now out of necessity she wants to be some
relevant price of ass.",NAG
@rahul kashiv Who said that one was better,NAG
Doggy style😜,NAG
Right speech,NAG
Arnab is doing great job for country. I am with you,NAG
Explanation super bayya,NAG
"you're motivating the youth in right direction seriously love your efforts
Guys please understand the power of simplicity and elegance in a bit complex
life

And about kabir Singh in medicine there is so much cut throat competition and
studies pressure all the time that of course this movie is in no way related
to the real life...",NAG
"Loved all song ❤️ Kabir Singh Rocked  
Who Loved Movie hit like here...  
I think first movie showing Love Story of a Doctor ❤️💙",NAG
"You can’t suppress the TRUTH. Roy is an amazing human being who speaks truth.
We have right to express our views",NAG
Great review sir...,NAG
"First of all homosexual is a demonic spirit ... And also it's against the rule
of nature....",NAG
"Hit like for **Ganesh Gaitonde** 🤣🤣🤣

अहं ब्रह्मास्मि ।।",NAG
Kya baat bede bhai so happy this is a kabir Singh roast😁yes finnaly,NAG
"It ain't wrong. I have a pet dog and he loves me and my family better than
anyone would",NAG
Most bullshit channel I have ever seen,NAG
Ilove you mrinmoy da your video is so god,NAG
