Text,Sub-task B
"Full support 💪🙌 bro  
Keep it up 👍",NGEN
"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NGEN
I was waiting for it.... Very honest opinion,NGEN
OMG 😱,NGEN
Llovu,NGEN
You are Right broo thanks,NGEN
"she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country and
behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat .",NGEN
"Watch this amazing video
[https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop](https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop)",NGEN
hats off brother,NGEN
Too much spoiler 🙄🙄🙄 Change Title 😒😒,NGEN
"but can you catch them, no....if yes fial complian agaist them in court and
punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them",NGEN
"By the way i myself being a 21st century modern girl, i did not watch four
more shots as i found the trailer and the interviews of the cast very
disturbing. Feminism is losing it’s real agenda i.e equality of gender, but
becoming an advocate of all sort of sexual shit. Feminism is much more than
sexual freedom, i request all my fellow girls to not get carried away by such
ideas.",NGEN
Ranu is a bad girl 👍👍😸😆😂,NGEN
"Looks like a ghost, real conjuring",NGEN
The world needs more men like you,NGEN
**Correct**,NGEN
"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",NGEN
"The whole Bollywood premise is showing a life people dream about and not
realism. It's a form of escapism from reality.",NGEN
"Salute to you sir,great thinking",NGEN
"Watch this song..Awesome
<https://youtu.be/4Ax1099ML-Q>",NGEN
Very very nice Bor,NGEN
Very nice video,NGEN
Epic movie,NGEN
"I had head ache during this movie and also post movie.. I simply hated the
movie , completely disagreed and indigestible plot... & people were like how
can u dislike the movie.. whereas I'm shocked what is there to be liked except
the songs...",NGEN
Super bro,NGEN
"Good job,,plz sub",NGEN
Weren't you a liberal yourself?😂,NGEN
That is why I like amir khan,NGEN
Best film for sahid Kapoor,NGEN
"If you are a man then you are a fool of india..now women are fighting for
men...do you know that?",NGEN
Manjee.. Chakshu ji.. Nd.. Akhil ji... 😁 😂 🤣 🤣 🤣 fab.. 😁 😂 🤣,NGEN
"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their fuckin mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",NGEN
"All of you r jealous of Ranu Mondal. .you have no education. .bt we support
Ranu ji fr her talent ...we never interfare her personal issues. .we love her
devine voice. .dats it..",NGEN
"hi pratik, hope you are doing well. Call it a coincidence or anything, I came
across a designer liberal page criticising Kabir Singh for MISOGYNY. Frankly
speaking I have seen only Arjun Reddy, and I was unable to find single trace
of misogyny anywhere. If these people were so concerned about women, there
will call out real tharkis in our country. But anyway they like Veere Di
Wedding and 4 More shots please. So better neglect them and let them whine
like babies. Loved the couple Arjun and Deepthi, Kabir and Priti👩‍❤️‍👨👩‍❤️‍👨.
Movie is top class. Keep up the good work 🙏😇",NGEN
Kabir singh one of the best love story. Dil se jud gayi movie,NGEN
"Shadaa by Diljit Dosanjh  
Review  
Please 🙏 🙏",NGEN
col,NGEN
You are talking real sense bro..,NGEN
"Wow...pratik sir u r analysis really superb...hope more people like u exists
in bollywood critics...fk those paid critics nd pseudo femmies nd commies....",NGEN
"Mensutra is the leader of youth....Thnx for your contribution to our Indian
Society",NGEN
"Arundhati Roy has biggest bowls ,,,,,,,",NGEN
Love from bd💖💖🇧🇩,NGEN
hlooo,NGEN
@Babu Lal good morning ji,NGEN
"Please do a fan meetup! We want to meet you in person. There are many
community centres in and near Saket that you can book for same.",NGEN
awesome movie..,NGEN
"how can u talk for so much time and u looking just at the camera.. which means
it's like talking to yourself..",NGEN
good,NGEN
Really,NGEN
Totally agree👍,NGEN
Ayushmann khurana nawazuddin siddique rajkumar Rao are really good actors,NGEN
8617618488,NGEN
"Ya gay person never like girls....but they won't going into violence against
girls...ur approach is entirely wrong man😒😒😒👎👎👎",NGEN
No means no... Awesome sarcasm...,NGEN
"తమ్ముడు వైపర్ ఏంది నీ బాధ... 🤔  
గమున్నుండవాయ్...  
రిప్లై ఇవ్వలేదని ఓ కామెంట్స్ పెట్టుకుంటూపోతున్నారు  
Shahid he is good actor & better then khan's So we are all just encourage  
  
Don't negative be positive  
Prabhas & shahid one of the greatest friends So I'm just supporting  
  
I'm member of prabhas fans association  
  
Eagerly waiting For shad's oF saaho  
  
Just waiting all",NGEN
I think you are one of the most honest youtubers on the platform. Respect! 🙏,NGEN
All hutiyas one side and swetabh one side.,NGEN
amezing brother🤘,NGEN
"Give the fake name and fake details and you will end up being unable to vote,
nor open bank account nor apply for any social benefits...",NGEN
কামরুন নাহার right,NGEN
"to moto chele a rakom ma der chere dei tar pare ninda kare
i heat you .",NGEN
Nice msg in end. Awesome video 👍👍👍👍👌👌💗💗,NGEN
"Yes I saw in reality how protective lesbian girl is when it comes to her
girlfriend..... Salute to that girls...lgbt rocks",NGEN
Good.. :),NGEN
"Iam a medical student and we give atleast 6-7 hrs for subjects . There is
nothing like personal life in medical field. For the sake of patients you have
to sacrifice your personal life.",NGEN
She is a drug adict n dinner girl of billionaire,NGEN
"these mental congress paid leftist so call intellectuals thinking Hindustan is
a jock.. these group will be behind bar or will be eliminated before
2023...just wait...this govt will not spare",NGEN
Kabir singh 2019 most overrated movie🤮🤮,NGEN
Hit like if you love ayushmann khurana,NGEN
@Sayan Bose Thanks.. Respect.,NGEN
"Have u watched 3idiots, OMG, queen, Parmanu, Bajrangi Bhaijaan, Sultan,
Dangal, Padman etc?????? Better try to watch these good movies and remove ur
negativity about bollywood.",NGEN
Right 👌 bro,NGEN
Best and well studied review bro...👍,NGEN
Totally agree......bro..Specially for Army and for country security...,NGEN
"Al9


,Alicia",NGEN
Who is watching this after india beat afganistan in world cup 2019.,NGEN
"Extremely sad, very very tragic.",NGEN
I hat ranu Mondal,NGEN
Sucharita tyagi is awesome,NGEN
Sucharita tyagi is chutiya critic.,NGEN
"At [14:27](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m27s) ...this is
What i said to my Father after 12th 😂😂😂😂😂😂😂",NGEN
Pseudo liberals are themselves too much intolerant,NGEN
good job done by this man,NGEN
Your voice is very sweet,NGEN
Ya he is the only who talks sense on you tube,NGEN
+Naughty World hiii,NGEN
It's good video but not good to murder of female,NGEN
<https://www.bbc.com/marathi/india-49022841>,NGEN
This movie is really great,NGEN
"I saw arjun reddy.... i am not a liberal or a feminist but it is my opinion I
saw arjun reddy yesterday on amazon and for one i had to pause whenever
character speak bcoz d subtitles were too fast i didnt have time to read the
whole thing.  
Secondly i didnt like arjun ka character- womZaniser, drug addict,
alcoholic.and very abusive.  
Thirdly, by saying i like thia girl in particular clothing and then going from
class to class plus the girl's hostel and giving it the name of love isn't
love at all and it's CREEPY like srk chasing after kajol in DDLJ.  
Fourth point, after repeated pleas by his parents, he still drinks and smokes.  
He was shown in a negative light....but atleast there was a courtroom scene.  
And he is proud to say that while he was high none of his patients died?
Seriously?  
He slapped a girl when it wasnt expected at all. He was very regressive. Not
only regressive but spoilt, unapoligetoc and obnoxious.  
One time watch but yet inspite all this i could see the effort made by the
makers.  
GOOD EFFORT... I DIDNT SAY GREAT FILM. THERE WASNT ANYTHING GREAT ABOUT THE
FILM. ARJUN REDDY WAS as my teacher would say A SPINELESS JELLYFISH.",NGEN
"Bro, Nice video",NGEN
You are alright,NGEN
"This lady from BJP is crazy this is how u react man such a foolish and
ignorant lady",NGEN
I just love how two women shout over each other about another women.,NGEN
Feminists​ & Liberals are curse to humanity,NGEN
"I hate these faminisim.....they don't know even the meaning of it ....and
called themselves feminist....real woman don't care of them...",NGEN
"All the libtard reviews are like...  
  
""No woman should watch the movie""  
""No one should like the movie""  
""If anyone likes the movie they are a terrible person"" 🤦  
  
Even if they are not outrightly saying those statements that is exactly what
they are implying...  
  
They don't care about the 10s of thousands of women who come out of the
theaters saying they loved the movie...🤷 Because they are wrong and only the
liberal feminist point of view is the absolute truth...🤮",NGEN
Toy Story 4 review sir please,NGEN
Super 🤠🤠🤠,NGEN
GaNgss Of wassepur Fanss Hit A like....😂😂😂,NGEN
I totally agree with you sir 💯,NGEN
Salute,NGEN
You got a subscriber 👍,NGEN
"Sir I Have Sent A Personal Message To You on Instagram .... Please Make a
Video on it",NGEN
"Arundati has to go to Bangladesh..... And we have to change her name to
kutta.... 💐💐💐💐",NGEN
"Gay are not criminals, its a sexual identity, please stop sending wrong
messages",NGEN
"Wow that's cool bcz i love all lesbians & gays. They are more spacial than uh
in my opinion. So i support them cz i respect them ❤❤. Bt i m nt a lesbian",NGEN
"This is the failure of the Judicial system, they should make laws to punish
women who misuse this law.",NGEN
"@Be Positive What is your opinion about Muslims not allowing women to enter
Masjids ? Why are there no feminists protesting for that ?",NGEN
Superb nice movie,NGEN
"I died at Shahid Khan , Kabir Khan 😂😂😂",NGEN
"I guess it's the first film where every reviewer on youtube had a different
opinions and views .. woh!  
but I just loved the film!!",NGEN
Now arundhati roy destroyed herself,NGEN
"There is no action taken against woman, who file false 498a cases, so crime is
the only option left for a sensible Men like him, who was looking for
justice...",NGEN
"Well I do agree with most of the points you said..but I just feel that the
initial things done by Kabir in order to approach Priti were kind of scary.
Normally any girl would get scared. Priti's reaction to all of that was kind
of weird to me.",NGEN
Watch Section 375. It's a masterpiece exposing feminism.,NGEN
Bhai types of girls series continue Karo...,NGEN
Very good video,NGEN
Yes bro you ar right,NGEN
@Franklin Bro. I agree 💯% with u...,NGEN
"Shwetabh pin my comment.
You are too good man.",NGEN
se se se it's hearing looking feeling veery bed...,NGEN
"If films influence societies then Kabir Singh marks the beginning of a dark
society",NGEN
"Gazabb review .... I thought you would praise this film... Thank God you
bashed it.... Love your review",NGEN
"Finally, most anticipated video of Shwetabh sir!",NGEN
Sonagachi hit like❤,NGEN
Encounter................Encounter................Encounter..............,NGEN
If you have guts then speak against child rapist prophet mohammed,NGEN
"I have not seen kabir singh yet bt have seen Arjun Reddy. Grt movie. U r very
much right to point out the hypocrisy of the liberals and so called
feminists.Actually they themselves r confused of what they want in life and as
a result of this they live a lonely life at the end of the day. They don't
want to understand relationship. Their feminism starts with the f... word and
ends in the f...... word.",NGEN
nice bhai,NGEN
"Expected some what like the level of Wassepur.. Disappointed.. And yeah
don't... Bring in the anti feminist or cult kinda thing.. Just put your
view... Self destruction is a good thing.....be it substance abuse.. A
""thing"".. Or a lifeless soul.. Shut your mouth and start respecting your
mother.. In fact u need your parents help",NGEN
200 crores club movie hai ye 😂,NGEN
One word for all haters go die somewhere else..,NGEN
Oooo super,NGEN
Hate this,NGEN
"Savdhaan India, Kabir Singh fights back.😁😁",NGEN
@Pawan Kakade Dude joker sucked. Watch my review and open your damn eyes!!,NGEN
😂😂amazing practical person,NGEN
Hypocrisy... is a disease,NGEN
true,NGEN
"Even I watched the movie and I had similar thoughts, but the only appreciable
part was Shahid's acting.",NGEN
Nicevedio,NGEN
Hi8,NGEN
"I am a big fan, Pratik Bhai love from the USA 🇺🇸😍",NGEN
They will know in 2024 Elections when we vote for Modi Government in Majority.,NGEN
Nawazuddin a toxic character babat realistic presentation,NGEN
Right sir ...,NGEN
If anurag kasyab directed this film then it will be like crime petrol show.. 😂,NGEN
Once again you nailed it!!. Keep going brother.,NGEN
"Frankly I liked only Shahid and his friends acting and their relationship than
actual love story.",NGEN
From thumbnail I thought it is carryminati,NGEN
"Someone told me ki if you're trying to find out logics you must find it in
life not in films. So watch a movie with just nothing",NGEN
"10000% true 👍👍👍
Kabir singh is a big chutiya movie",NGEN
Pls review joker......,NGEN
Ok thanks for your,NGEN
1000th like👍,NGEN
"Yes, u r right man",NGEN
Kabir Singh best love story ever 😘😘,NGEN
"As a lesbian, I wouldn't say it'll ""completely"" contribute to reduction in
population. They need to legalize 2 children policy like China did. Also, all
couples should adopt at least 1 orphan instead of trying to reproduce. Only
25% of orphans are being adopted and others will be 18 then kicked out.
They'll become homeless. Rural areas should stop reproducing lots of children.",NGEN
"If u need a realistic and grounded love story, watch '96\. Vijay setupathy and
trisha. It is a tamil movie. watch it with subs.",NGEN
"Hit like for shwetabh gangwar.
👇👇",NGEN
Waste a bullet on Arundathi Roy...she is a traitor,NGEN
Ranu is a bad girl👍👍😸😆😂🤣,NGEN
"Phone sex iam from Odisha state bhubaneswar iam just 24yr old hot and sexy boy
09777070288",NGEN
Who the fuck disliked the video?,NGEN
<https://youtu.be/Jtf5L1h-q9I>,NGEN
My.darling,NGEN
I think chhichore is more realistic.,NGEN
Isiliye to real life ko movie se compare nahi kr skte.....,NGEN
"Tue film is amazing...sm. ppl in dis country have problem wid
everything...intrstngly these ppl dn hv any problem wid d things that r
actually wrong...",NGEN
Arundhati roy is a gr8 writer arnab pl dnt mislead the public,NGEN
"Why give importance to her nonsensical utterances? No talks, only arrest her.",NGEN
Love you didi 😁,NGEN
"Immediate arrest her.  
who gave her prize?  
redicuous .....",NGEN
"Kabir Singh is dubbing of Arjun Reddy Tollywood industry film directed by the
same guy Sandeep Reddy Vanga and what's so surprising is this movie is biggest
blockbuster of Tollywood industry in the respective year. Need more men like
you to get youth's mind into correct direction. Respect for your work man.",NGEN
Tike asa..bro..i like you...,NGEN
"I also watch thousands of worldwide movies Korean,Japanese,Hollywood,Taiwan
seriously after a decade I will tell you that kabir singh/Arjun reddy is a
cult classic movie in india it’s not a simple love story.bro you are awesome
you are telling the real truth.❤️",NGEN
That's the truth,NGEN
Coming to Delhi to watch your videos bcox net is off in Kashmir,NGEN
You're a true genius!😎😎😎😎😎😎,NGEN
"Harr Londa samajhta hai main Kabir Singh hu, EX: main chain smoker hu like
him, main abusive hu like him, alcoholic hu as usual like him but when it
comes to education, wisdam, carrier non of these even exist for em.",NGEN
Right...,NGEN
"NPR will help reaching govt schemes effectively n proprly to minor
communities.",NGEN
Beautiful,NGEN
"@usher luck Fair enough then ... The director's approach isn't very clear to
me however , may be it's misinterpreted , may be not . And can't comment on
the movie scenes . Started my comment stating that didn't watch it.",NGEN
Nice review brother love you,NGEN
Make video about Indian series streaming on Netflix and Amazon prime,NGEN
"@NIRMALYA SASMAL just tell me one thing have u watched the whole speach it's
just 4-5 min u should watch it.",NGEN
"I agree with you but I have a point too. Before elaborating my point, I want
to let you know that I'm here after seeing the ""Joker Movie analysis"". I
firmly believe the male character in Kabir Singh was irresponsible and doesn't
have any reflection with real life or practicality. As you said in the later
part of this video, ""if you're in relationship and your partner is self
derogating then run as fast as possible."" Don't you think this line defy your
Joker analysis, where you appraised/empathize Joker's mental state and called
the movie INCREDIBLE. But in this part you said to run ftom such type of
person, if we all keep running from person who're mentally ill then were would
our generation will end up. I'm not saying this all because I like Kabir
Singh, I'm saying this because I have depression, anxiety and personality
disorder. In the movie ""principal"" told the class about his Anger management
issue.
Kabir also has emotional/mental issues but I guess you didn't observed him
precisely as much as you observed Joker. As per WHO, one in every 20 Indian
suffer from depression; 5 out of 100.
Hope you understand what I'm trying to say. Peace ☮️",NGEN
"@mala sahu India is a failed state and so do NSA , you cant scare us with your
""Nazi Gestapo"" crap",NGEN
@sonali roy r8,NGEN
**shahid fans hit like 😍😍**,NGEN
Great Job !,NGEN
"Hitesh Kumar see here in youtube some misandrists are commenting using fake
I'd.Some female misandrists are a snake of two face that means they says that
498 must be banned but they work for developing laws against men.This type of
misandrists are just a spy of radical misandrists.They are doing drama of
gender equality at daylight but at a secure time they change their form.Those
are the misandrists in the coat of gender [equality.Be](http://equality.be/)
careful from them and try to identify them.They just watching us to provide
the informations to the local misandrists in the form of gender
[equality.Like](http://equality.like/) a spy uses beard so that he cannot be
identified.Sometimes those misandrists make id using photo and name of the
boys",NGEN
Bhai good analysis,NGEN
Super boss,NGEN
arnab you must retire now. you are done.,NGEN
"Best review. Khup negatives reviews milale Kabir singh la.. Filmi corporation
chya Suchitra tyagi tar Vish okalay tichya review madhe.. Go to masses man..
Movie is getting excellent response from people.. This type of love story is
encouraging in today's world where one night stand and extra martial affair is
comon",NGEN
@Naveen Shekhar I know that's exactly what I said .,NGEN
"Hi iam from Odisha state bhubaneswar 09777070288 I want make friendship with
you and meet with you if you are interested msg me on whatsapp and call me let
see 7 mine",NGEN
Seriously so sad to say but ... Tatti movie,NGEN
@aam admi ok,NGEN
"Exactly these assholic memers posted piles of shit memes on social media about
this absolutely rubbish and nonsensical film , I can't even call it a film
such directors should stop making movies asap otherwise already shitty
bollywood is going to become even more shittier",NGEN
This is really a good 1🤗🤗🤗🤗🤗,NGEN
No nice video 👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨,NGEN
Ranu is a,NGEN
Salute You bhai.... Your best review till now... Dho dala...,NGEN
Love u,NGEN
I studied really hard the next few days after watching this movie😂,NGEN
"If I shoot her, will l be jailed or I can get away with that?",NGEN
Pratik bhaiya l want to ask you something,NGEN
"I cannot understand how a government is sparing a antinational element
Arundhati Roy ? Her this coment is enough to be prosecuted in NIA .",NGEN
Nice video 😘😘😘😘,NGEN
Just when i was thinking wrong you just made my mind clear. Thank you.,NGEN
Disgusting,NGEN
Justice served....,NGEN
Not thanks to God.Only thanks to you dada,NGEN
"Arnab don't give more important to Mrs.Roy. Just take her in custody and
demonstrate law exist",NGEN
"Lotous come out from mud but it is expected it must be shunned the stink of
mud.",NGEN
Good....,NGEN
Hahhaaa,NGEN
Nailed it ...outstanding reply to film companion and others,NGEN
Super vai,NGEN
"@Arnab: Do you know what are the plans of Govt with the Illegal immigrants?
How would a refugee prove religious persecution? Why have we shown selective
compassion?  
Do you really think it is the right time for India to do an activity like NRC
given the facts that almost 20% population are below poverty line and 30% of
adult population are still illiterate which constitutes more than 50% Women
who are still deprived of their basic needs. Do you think, this is the time
such exercise would be of any beneficial to India? Don't you think the CJI and
GOI has wasted our huge 16K Cr rupees in this unsuccessful exercise and if we
live the money aside, look at the extent of trouble and pain people went in
Assam due to this.  
The reason I Pointed to NRC is because NPR is nothing but Opening Step of NRC
and with reference to Scroll.in(correct me if I am wrong) the new questions
added to NPR are indicators of the NRC exclusion process.  
You being a Journalist and from Assam, doesn't this pinches your heart and
raises alarm. Is there no value of human life on this land anymore?  
  
I strongly Oppose NRC, Oppose CAA amendment in the current situation.  
Was there any effective effort from GOI to stop the infiltration?  
  
GOI is just find ways to treat us like goats every now and then.  
  
I know, this questions should be thrown at GOI, however, as I see you a so
called representative of the GOI most of the time, so, I am throwing this on
you.  
Moreover, whats wrong with you getting stuck in this stupid debates on who
told what. Everyone around us promote lies everyday. Nobody really bothers
that anymore. Starting from PM to HM to Activist everyone promotes lies
everywhere but no facts. So, Arundhati is no different, where we cannot trust
the PM/CJI for that matter, who is Arundhati in that league. No one cares
about her. I stopped watching your channel, just thought of looking over today
for a change, but nothing changed. Same insensitive arguments and false
narratives. I wish I could say alternate narratives, but I see them clearly to
be false.  
Also JFYI, I supported the change in Govt, but really regretting now. I dont
support any political party anymore. So, please dont ask me why didn't I speak
during UPA rule. I dont have to answer that to you.",NGEN
Good job bro 🤘❤✌,NGEN
Thanks brother for your good explanation .,NGEN
NICE Shirt Pratik Bhai 😂,NGEN
"She is social pollutant  
She should be arrested as quick as possible",NGEN
I lov ur video dada. ......,NGEN
"This movie hits at people's Mesmorism about a king... Because he is a king he
is justified being doing all",NGEN
Good job.,NGEN
This movie was total shit...,NGEN
Nice review .. can i get a like,NGEN
Wow amazing videos,NGEN
your are no Santa Claus,NGEN
"I appreciate what you are saying.I will always support you  
  
  
  
whatever it takes",NGEN
good job jahangir,NGEN
that's is rong yarr,NGEN
"This lady is the true face of urban naxal,and is paid by western countries and
isi to destroy india by giving provocative speech,she should be put behind
bars",NGEN
SUSSANE arundhati roy,NGEN
"if you reading this comment So I want to suggest you a book named ""Incognito
written by david eagleman""
its really great book you wont regreat reading it",NGEN
Thanku sir.... You're awesome,NGEN
"Ms.Roy should have been arrested immediately when she is enticing people in
the public.",NGEN
"Now, remember these English speaking monarchy minded Congress and hippocrate
Communist have to polish shoes of common people and they will get room below
shoe to take rest.",NGEN
"Check the news:  
A guy from TikTok name Ashwani Kumar murdered a flight attendant he was
obsessed with. He was uploading villain clips on social media imitating Kabir
Singh.",NGEN
"Exactly bro...... you are absolutely right. I am with your thoughts. Please
keep posting these kinda videos really appreciate your work",NGEN
Nice vedio,NGEN
"You are absolutely right dada,",NGEN
Review Joker bro,NGEN
scary tube lol 🤣🤣🤣,NGEN
@Anindita Maity nice sister... you are right,NGEN
@Its chakshank wlcm❤,NGEN
"Didn't see a video so demeaning of lgbt and women alike... U guys should be
ashamed! Which day n age r u living in? Hope I cud spam such videos.",NGEN
"Even lgbt people have their own standards lol ...I'm gay but you will never
find me drooling over boys in public for mere pleasure... And also I have a
type.",NGEN
You really want to spoil such masterpieces?,NGEN
"Alpha male is a pack builder not a timid destroyer who hides behind the mask
of masculinity... Yes only dumb girls who has extreme psychological issues
themselves can fall in love with such a gross character !!! Codependencey is a
thing ... Kabir shing is a portrayal of toxic codependency only !!! A sane
independent girl will run miles away as soon as she smells a Kabir shing ...
But if she doesn't and embresses the insane dominant dynamic then mere Bhai
you both have deep rooted psychological issues and need immediate therapy ...
Otherwise together or not both are doomed my friend !! In my opinion if you
even like the character you need therapy ...  
Ask yourself what within you makes you like and imitate such a gross tatty
character!! Very very problematic",NGEN
I. like you very nice,NGEN
Media and public Bengali film land of women public television series is a good,NGEN
"Real man is someone who has purpose in his life. Purpose makes our lives
meaningful.",NGEN
Nice Bro,NGEN
Your biggest ac,NGEN
"I love you brother for saying this on this platform. I completely agree with
your thoughts.",NGEN
Omg what a retard,NGEN
Super!!,NGEN
Your right my friend,NGEN
U are right,NGEN
Great job jahangir bhai,NGEN
Nice apu didi,NGEN
"@Pratik Borade bro i have master's degree in physics from IIT kgp. Seriously
dude you should reads books. I am not even laughing at you. I feel pity . I
feel pity for myself for wasting my time on some dumb YouTuber. Hasi ka patra?
Some one pls just kill me I can't take it anymore",NGEN
Hmm,NGEN
"Kabir singh is synonymous to every rickshawallah who drink and and beat their
wife , are sex addicts , and sulk when their wives leave them. Wonder why
people dont make movies on them",NGEN
"From the depth of my Heart i like the way you observe things and share your
point of views... this is my first comment please sir give Heart ☺",NGEN
@Amritpal Singh yes,NGEN
Bollywood lionize shit,NGEN
I m thinking that u r reviewing a movie or just using it for poltical agenda.,NGEN
Jhand movie is the perfect word,NGEN
U r true bhaii,NGEN
nice,NGEN
Yes you are right,NGEN
Brother point is totally good 👌👍👍👍,NGEN
Good job,NGEN
Spoiler alert at [3:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=3m30s),NGEN
Good bai,NGEN
"What about conservatives don’t be one sided every side is corrupted and has
ignorant people",NGEN
Right ...you are right absolutely .a huge respect 🔥,NGEN
RX100 MOVIE REVIEW,NGEN
As ultimate GPS,NGEN
"He is hero for all those who is suffering from false claim charged by women to
their husband and their in law. Show this case to government than they will
realised that the law they made for justice is leading toward blood &
violence.",NGEN
"You have gone beyond limits this time Pratik. You should not talk about
feminism and liberalism when you have no idea of what it is! I am surprised
beyond anything to see the comments supporting your views and number of
followers you have.  
  
Below are the points where feminists or a person of any gender with even a bit
of a common sense are hurt-  
1\. When the lead actress is never asked if she loves kabir in the movie.  
According to you, in our culture women are not supposed to be asked? You can
just impose whatever you like on her?  
2\. Forcing somebody for intercourse using a knife is a crime in our country,
let alone the question of feminism in that scene.  
  
And for your kind information, liberals are not only the ones you mentioned.
For example, I am pretty sure that you consider Nathuram Godse a hero for
killing father of the nation, mahatma gandhi. In such case, you ll as well be
considered liberal and so was Nathuram Godse.  
  
So don't go on spreading insanity you naive person. Just read more and expand
your logical boundaries.",NGEN
"The basic ideology behind Liberals and Feminists is not wrong but a lot of the
people who consider themselves representatives of these ideas are in wrong.
Everyone always remembers that",NGEN
Kabir Singh my favourite 🔼🔼,NGEN
10 inch mouth haaaaa,NGEN
"Am also lesbian...  
Who is single....  
I want a girlfriend soo much....",NGEN
"I agree with this girl's comment if God does not punish them then who are you
people pandits and molvi sahab's do it secretly and padri sahabs does it
inside churches world wide hahaha hypocrites",NGEN
